kilometres_ridden,engine_problem,battery_problem,breaking_issues,service_date,bought_date
35434,0,0,1,215,04-12-2013
84498,0,0,1,287,03-06-2017
97000,1,1,0,279,11-11-2017
40677,1,1,1,220,20-10-2019
52440,0,1,1,290,20-07-2014
59133,0,0,0,304,06-09-2019
14672,1,1,1,83,19-04-2020
15031,0,1,0,125,05-12-2021
79120,1,0,0,230,05-12-2012
83284,0,0,0,107,29-06-2021
27390,0,1,0,78,23-05-2019
21762,0,0,0,150,16-06-2020
70419,1,0,0,352,28-11-2018
51663,1,0,0,47,28-11-2010
47524,1,1,1,153,20-04-2012
78424,0,0,0,160,15-07-2016
92237,0,1,0,354,27-05-2022
97005,1,0,0,55,07-05-2021
36195,1,1,0,355,12-09-2015
96160,0,0,0,143,21-10-2018
25817,0,0,1,3,29-05-2012
24984,1,0,1,299,11-04-2023
38346,1,1,1,334,07-08-2021
11967,0,1,0,31,15-11-2020
30607,1,1,1,98,06-02-2012
26480,1,1,0,251,11-08-2016
43071,0,0,0,347,14-04-2019
55719,0,1,0,39,06-06-2018
50408,0,1,0,359,19-07-2020
65367,0,0,0,57,14-05-2020
89819,0,0,0,126,17-03-2011
25564,0,0,1,25,04-07-2014
96906,0,1,0,166,24-09-2015
10572,1,0,1,62,16-01-2013
48539,0,1,1,263,12-02-2011
87419,1,1,1,306,12-07-2022
88027,1,0,1,103,11-09-2020
42907,0,1,1,123,18-07-2012
59298,1,1,1,315,25-09-2016
73782,1,1,0,16,13-01-2013
76060,1,0,1,277,11-07-2021
18744,1,1,1,161,11-09-2017
94390,1,1,1,282,08-05-2016
44682,1,1,1,37,08-03-2020
20831,1,1,0,63,10-04-2018
57480,0,1,1,141,13-08-2017
12080,1,1,0,274,28-04-2017
44926,0,1,0,59,15-01-2015
88274,0,0,1,53,02-11-2018
88849,0,0,0,269,02-03-2019
44741,1,1,1,275,08-01-2022
32331,1,1,0,120,10-08-2013
59620,0,1,1,116,07-03-2014
62280,1,1,1,128,13-10-2017
33274,0,0,0,211,07-11-2020
17520,0,0,0,119,02-06-2017
17955,0,0,0,348,01-08-2013
51926,0,1,0,135,01-11-2013
82321,1,1,0,67,26-02-2017
87723,1,1,0,104,03-07-2022
13630,0,0,1,211,24-03-2019
11753,1,0,1,335,13-02-2016
27761,1,0,0,50,04-09-2012
19621,0,0,1,131,05-09-2016
25271,1,0,1,34,19-03-2010
30982,0,1,1,138,26-10-2015
18018,1,1,1,360,04-06-2015
17978,1,0,1,106,19-07-2010
96121,0,0,0,14,06-02-2021
13232,1,1,0,78,03-02-2015
44277,1,1,0,33,18-02-2011
45781,1,0,0,290,27-06-2017
59910,1,1,0,280,11-04-2017
60920,1,1,1,48,09-08-2020
33033,1,1,1,253,20-08-2011
89638,1,1,1,265,07-08-2012
20214,0,1,0,223,13-01-2016
12143,1,0,1,158,14-03-2013
81646,0,1,0,190,27-07-2020
35164,0,0,0,194,12-01-2012
83266,0,0,0,302,24-03-2022
23422,1,0,0,125,25-09-2017
24586,1,1,0,58,18-10-2019
41337,0,0,1,121,27-07-2021
54708,1,0,1,221,13-04-2011
73836,1,0,0,19,23-02-2015
85338,1,0,0,150,22-06-2012
40467,0,1,1,153,10-05-2012
21281,0,1,0,286,28-11-2020
60728,0,0,1,297,14-10-2010
81530,1,1,1,37,16-05-2011
39134,1,1,0,53,03-12-2022
60816,0,1,0,212,23-03-2023
79835,0,1,1,321,17-03-2010
68632,0,1,1,134,24-03-2014
34734,0,1,0,300,29-05-2019
78416,1,1,0,149,24-04-2018
68454,1,1,0,102,08-11-2017
77248,0,1,0,261,02-10-2010
25673,0,0,0,168,06-07-2021
72089,1,0,1,60,30-04-2011
78328,0,0,0,158,06-12-2012
91678,0,1,0,258,08-09-2016
43063,1,0,1,100,15-12-2020
81364,0,1,1,239,28-02-2017
35426,1,0,1,359,09-10-2016
80151,0,0,1,86,22-09-2021
28748,1,1,0,293,14-09-2016
94430,1,0,0,140,14-03-2021
32757,1,0,1,36,11-01-2010
34287,1,1,1,327,15-02-2012
41653,1,1,1,256,27-12-2010
17526,1,1,1,143,22-02-2013
19887,0,1,1,70,23-08-2019
98647,0,1,1,94,18-05-2015
89691,1,0,1,57,28-07-2017
57159,1,1,0,307,28-07-2022
93244,1,1,0,53,08-02-2010
83050,0,1,1,5,23-08-2015
94224,0,1,1,118,03-12-2022
35068,0,1,1,218,07-10-2022
13846,0,1,0,289,18-05-2011
48660,0,1,0,260,30-11-2012
54872,0,0,0,99,13-09-2017
20485,1,1,0,241,28-02-2023
96432,1,1,1,326,09-10-2016
71974,1,1,1,220,23-08-2015
93074,1,1,1,222,05-12-2013
84808,1,0,0,232,25-02-2016
71427,0,1,0,64,04-05-2016
31116,0,0,0,327,05-05-2014
45004,0,1,0,4,30-07-2011
14993,1,1,0,257,07-10-2021
93467,1,1,0,41,23-07-2013
62550,0,0,1,96,27-04-2015
38485,1,0,0,323,07-12-2011
86655,1,1,1,362,03-05-2018
71092,1,0,0,13,23-09-2014
44259,1,0,1,351,24-12-2021
78702,1,0,1,285,02-03-2010
73650,1,0,0,262,14-04-2013
17654,0,1,1,84,27-01-2023
51363,1,1,0,63,11-03-2018
50068,0,1,0,271,01-03-2023
27139,0,0,1,136,27-06-2014
45515,1,0,1,297,14-01-2020
82712,1,1,0,135,15-12-2014
52315,1,1,0,220,17-03-2017
28287,1,1,1,16,30-10-2021
36130,1,1,0,212,10-05-2020
19636,1,0,0,191,02-05-2018
16190,1,0,1,196,17-01-2012
99416,0,0,0,286,15-07-2016
60399,1,0,0,178,27-03-2022
82726,0,1,0,235,03-05-2014
33722,0,1,0,129,20-05-2022
27010,1,1,1,81,08-01-2010
69178,0,0,0,121,29-10-2010
96798,1,1,0,262,13-09-2022
28880,0,1,0,135,31-01-2022
41732,0,0,0,30,15-05-2022
76356,1,1,0,96,25-11-2015
72122,1,0,0,108,20-06-2021
26445,1,0,0,161,20-11-2015
86724,1,0,1,233,08-07-2014
70457,0,1,1,63,19-03-2022
70240,0,1,1,142,25-07-2020
22962,1,1,1,254,08-07-2019
79213,0,0,0,318,01-07-2013
96103,0,1,1,246,29-11-2017
20611,0,1,1,80,06-02-2022
12884,0,0,1,10,22-04-2012
92300,1,0,0,219,28-07-2020
55074,0,1,1,341,05-12-2010
57869,0,0,1,291,23-02-2011
17722,1,0,0,222,02-06-2021
71617,1,1,0,7,21-11-2012
77946,0,0,0,265,20-04-2023
66962,1,0,0,104,13-01-2020
66862,0,1,1,139,04-07-2010
82428,1,0,0,134,11-08-2013
90611,0,0,0,98,27-03-2021
98317,0,0,0,51,02-09-2019
50389,1,1,1,245,13-03-2013
51422,1,0,1,309,28-06-2017
75621,0,1,1,301,08-06-2019
14482,1,0,0,98,19-05-2018
33771,0,0,1,161,04-11-2021
36222,1,1,1,170,03-12-2020
37853,1,0,0,335,27-11-2019
36253,1,0,1,200,15-03-2011
28462,1,1,1,178,26-04-2016
91823,0,0,0,359,12-02-2023
14748,1,0,0,129,31-01-2017
54377,1,0,1,75,31-05-2010
74978,0,0,1,321,14-03-2023
67127,1,1,1,71,21-03-2019
77306,1,0,1,228,22-05-2020
41629,0,0,0,280,09-10-2022
66540,1,1,1,9,23-02-2020
54990,1,1,1,261,23-10-2017
86082,1,1,1,303,25-12-2019
77559,0,1,1,182,20-04-2011
14871,0,1,1,299,30-11-2017
16943,0,1,1,196,07-03-2017
20141,0,0,0,12,13-10-2012
10742,0,0,0,104,27-01-2010
32207,0,1,1,128,05-02-2014
71411,1,1,1,151,15-03-2013
48661,1,1,1,202,09-11-2014
31661,1,0,0,154,26-01-2012
86496,1,1,0,87,16-07-2012
51261,0,1,0,279,16-07-2015
14711,1,1,0,144,20-12-2017
89224,0,1,1,240,24-02-2014
50367,0,0,1,69,12-05-2020
66594,1,0,0,56,18-12-2012
36912,0,1,1,143,19-12-2017
46706,0,1,0,151,10-02-2013
75163,1,0,1,130,08-07-2019
63302,1,1,1,99,09-10-2021
35753,0,0,1,314,01-04-2013
52912,1,1,0,177,05-09-2011
50191,1,1,0,194,17-12-2015
21811,1,1,0,281,11-12-2016
38490,1,0,1,18,10-06-2019
31181,0,1,1,265,27-03-2010
44331,0,1,0,293,06-04-2017
27374,1,1,1,316,02-06-2016
81573,1,0,0,226,22-05-2020
62062,0,1,1,19,29-02-2020
56186,0,1,0,102,14-08-2015
11768,1,0,1,209,27-10-2012
94180,1,1,0,111,30-03-2019
62354,0,0,0,324,12-05-2022
67760,0,0,1,247,05-06-2020
11199,0,1,1,277,19-07-2014
81531,1,0,0,141,12-02-2022
64227,0,0,0,171,06-07-2013
62233,1,0,1,45,12-05-2018
64123,1,0,1,299,15-11-2022
36057,0,0,1,126,05-01-2014
73122,0,1,0,335,22-04-2021
57814,1,1,1,312,13-02-2018
43676,0,0,0,331,09-10-2011
97268,0,0,0,180,23-09-2010
69624,0,1,1,320,15-08-2013
26570,0,0,1,226,19-09-2014
50019,0,0,0,205,16-08-2021
73794,0,1,1,4,10-01-2012
32914,0,1,0,225,22-08-2018
84781,0,0,0,223,06-02-2011
42253,0,0,1,90,25-04-2014
78224,1,0,1,23,01-02-2018
61173,0,0,0,353,24-11-2018
46255,0,1,0,314,29-09-2014
42354,0,1,1,305,13-07-2021
68375,1,1,0,255,07-10-2016
15321,1,1,1,46,23-12-2017
97623,0,0,0,69,21-10-2020
11413,1,0,1,208,16-07-2010
88615,0,0,1,265,01-05-2015
88990,1,0,1,152,02-02-2016
22408,0,1,0,174,06-04-2012
49823,1,0,1,172,28-09-2016
40547,1,0,1,199,18-03-2018
20083,0,0,0,348,23-05-2012
76445,0,0,1,357,11-05-2010
81445,1,0,1,86,05-11-2021
94758,0,0,0,306,24-01-2017
87735,0,0,0,39,06-10-2018
58198,1,1,1,144,08-12-2013
81578,1,0,1,155,23-06-2020
54223,0,1,1,351,16-01-2016
74308,0,0,1,78,11-06-2020
41108,1,0,1,154,06-12-2019
28163,0,1,0,116,12-07-2018
58819,0,1,0,165,17-09-2022
36334,0,0,0,313,29-11-2020
57963,0,0,1,238,30-06-2010
50934,0,0,1,132,30-01-2017
80986,1,1,0,102,16-05-2015
23415,0,1,0,245,13-05-2015
55039,0,0,1,9,20-12-2021
20861,1,1,0,92,27-12-2010
80497,1,1,0,78,04-05-2011
50898,0,0,0,269,11-11-2013
10875,0,1,0,117,26-11-2019
42346,0,0,1,165,26-03-2023
88898,1,0,0,43,05-05-2011
17837,0,1,0,256,02-07-2010
64190,0,0,0,215,06-11-2019
74950,0,0,0,126,30-09-2015
62588,1,1,0,142,01-11-2019
18846,0,0,0,197,07-07-2018
44714,0,1,1,180,14-10-2022
81712,0,0,1,240,24-02-2011
57516,0,1,1,238,01-02-2010
94018,0,0,0,206,15-09-2015
27167,0,1,1,141,20-11-2015
36890,0,1,1,333,22-08-2017
55820,0,1,1,340,20-08-2018
47247,0,1,0,354,10-12-2010
96326,0,0,0,307,11-07-2021
20257,0,0,0,198,23-10-2020
19539,0,1,1,360,19-07-2013
13210,0,1,1,146,20-03-2012
90745,1,0,0,236,22-07-2011
19572,1,0,0,80,05-04-2013
30700,1,0,1,228,26-01-2012
49369,0,1,1,142,19-12-2010
89932,1,1,0,238,21-10-2010
25524,0,0,1,172,01-02-2023
46785,1,1,1,91,01-12-2017
82357,0,0,1,147,24-06-2018
28280,0,1,1,359,07-06-2011
53022,1,0,0,337,09-12-2012
80418,0,0,0,249,26-10-2020
18461,0,1,1,79,22-03-2021
78436,1,0,0,32,10-02-2015
84196,0,0,0,61,25-10-2021
84491,1,1,1,230,15-06-2014
87601,0,0,0,325,09-05-2012
85110,0,0,1,72,26-08-2017
46763,0,0,0,85,23-10-2017
20867,0,0,0,214,30-11-2014
78510,1,1,1,52,17-04-2020
69428,0,1,0,243,03-10-2013
78215,0,1,0,205,10-05-2010
71228,0,1,1,66,27-05-2015
73298,0,0,1,184,22-08-2021
38991,1,1,1,318,13-04-2015
88037,1,1,1,234,01-06-2011
40433,0,1,1,145,07-04-2022
29592,1,1,0,88,18-09-2011
35735,0,1,0,235,30-07-2016
20951,1,1,1,169,16-06-2016
52117,0,0,0,294,01-01-2021
45238,0,0,0,124,09-11-2019
56373,1,1,1,86,20-06-2021
49944,0,0,0,115,08-02-2018
10538,1,1,0,360,02-01-2019
42509,1,0,1,222,10-05-2019
23946,0,0,1,85,07-03-2011
94084,0,0,0,134,31-12-2022
30691,1,0,0,117,12-12-2010
53252,1,1,1,189,05-06-2021
37731,1,0,0,54,24-11-2022
12140,0,1,1,325,21-07-2010
12571,0,1,1,177,28-09-2013
21110,0,0,0,44,25-06-2018
95138,1,1,1,11,10-06-2014
73564,0,1,1,340,16-10-2017
10836,1,1,0,17,15-12-2015
77738,0,1,1,290,15-02-2011
64777,1,0,1,29,01-08-2018
28113,1,0,0,299,29-07-2020
67758,1,1,0,229,05-08-2015
41926,1,1,1,56,20-12-2020
77831,0,1,1,191,11-05-2012
26744,1,0,1,117,07-09-2014
76775,0,1,1,112,08-12-2011
26936,0,1,1,221,15-04-2017
11582,1,0,1,364,04-11-2011
42183,1,1,0,355,22-10-2013
83085,0,1,0,247,01-09-2020
63302,1,0,0,80,20-09-2010
18174,0,0,1,107,29-10-2018
49294,1,0,0,68,05-02-2015
77401,1,1,0,350,08-11-2020
71375,1,0,1,205,26-05-2014
90660,1,1,0,93,15-02-2021
59134,0,1,0,176,08-09-2016
59480,0,0,0,354,06-02-2016
17347,0,1,0,177,24-01-2022
84066,1,0,0,180,08-12-2018
35379,1,0,1,108,12-05-2019
81424,0,0,0,341,26-02-2018
24275,1,0,1,187,01-05-2011
44095,0,1,0,169,05-08-2019
11298,1,0,1,259,10-09-2020
83632,1,1,0,16,09-08-2010
32503,1,0,1,340,17-03-2019
57001,0,1,0,348,13-03-2012
90296,1,0,1,106,04-01-2019
61763,1,1,0,90,17-09-2013
83650,1,0,1,194,09-08-2018
58586,0,1,0,190,25-02-2018
22543,1,1,0,357,27-03-2014
38875,1,1,1,312,07-06-2016
74368,1,1,0,151,25-07-2011
51074,1,0,1,357,26-03-2018
81559,1,0,1,61,28-09-2018
40887,1,1,1,98,12-06-2022
80324,0,0,0,362,23-12-2021
79697,1,0,1,287,05-03-2014
39336,1,1,0,116,03-07-2020
37966,0,0,1,164,18-09-2011
17905,1,1,0,363,18-04-2023
76662,1,1,0,282,04-09-2020
22771,1,0,1,248,27-06-2010
82721,0,1,0,330,24-12-2021
73622,0,0,0,272,11-06-2022
62619,1,1,1,339,07-11-2011
42518,1,0,0,287,21-01-2013
62444,1,1,0,222,29-07-2011
64625,1,1,1,327,14-11-2022
69832,1,0,0,363,11-05-2021
72536,0,1,1,315,17-03-2020
29980,1,0,0,165,26-11-2014
75036,1,1,1,343,02-02-2023
93019,0,1,1,60,29-09-2015
19603,0,1,0,84,10-04-2019
81607,1,0,1,106,03-10-2012
86733,0,0,0,51,24-01-2014
94356,0,1,1,38,21-05-2011
86073,1,0,1,340,14-04-2021
21737,1,1,1,284,22-08-2015
15074,1,0,1,36,23-09-2020
43871,1,1,1,321,28-11-2013
97815,0,0,1,341,21-09-2018
14187,0,0,0,131,11-06-2011
94530,0,0,1,250,09-09-2018
48496,0,1,0,269,20-11-2021
63706,1,1,1,320,12-10-2010
36552,0,0,1,54,24-12-2014
98050,1,1,1,360,21-07-2018
22526,0,1,0,44,03-08-2014
72376,0,0,0,33,28-03-2023
94176,1,1,0,288,19-06-2016
13962,1,0,0,197,26-08-2021
42597,0,0,0,53,15-11-2022
69545,1,0,0,156,13-04-2015
15083,0,1,0,127,09-05-2012
13235,1,0,0,171,28-03-2018
73908,1,1,0,80,22-02-2015
65701,1,0,0,220,01-09-2017
48394,0,1,0,51,13-11-2013
39966,1,0,0,313,01-10-2011
29846,0,0,0,217,26-01-2022
14262,0,1,0,117,26-12-2020
69061,0,0,1,353,05-12-2017
98016,0,1,0,283,07-03-2022
47295,1,1,1,140,22-08-2020
18864,0,0,0,270,21-04-2010
96542,1,0,1,239,03-04-2017
14289,1,0,0,67,17-06-2012
51456,1,1,0,164,13-06-2017
58579,1,0,0,72,11-02-2020
74339,0,0,0,97,03-12-2013
97717,0,1,0,144,06-02-2017
19222,0,1,1,93,24-10-2017
72418,0,0,0,214,24-06-2015
16995,1,0,1,237,06-10-2018
69346,0,0,0,145,03-11-2018
20113,1,0,0,9,21-07-2011
45897,0,1,1,328,06-09-2010
26833,1,0,1,279,16-05-2020
87690,0,0,1,83,02-07-2016
17386,0,0,0,312,25-08-2020
44547,0,1,0,31,02-06-2010
35553,1,1,1,215,02-07-2018
46309,0,1,0,328,16-08-2011
63420,0,0,1,118,08-07-2022
28270,0,0,0,156,20-04-2016
40292,1,0,1,318,04-11-2017
36873,0,1,1,90,08-10-2018
78834,1,0,1,9,14-07-2020
94803,0,0,1,222,26-11-2020
52176,1,0,1,252,14-10-2011
81980,0,0,0,161,03-07-2014
86052,1,0,1,328,25-01-2015
22111,0,0,0,121,01-02-2012
12232,1,1,1,162,05-05-2013
67862,1,1,0,72,02-04-2014
85881,1,1,0,149,04-05-2015
20743,1,0,1,166,01-02-2023
98212,1,1,0,145,12-05-2022
81550,1,1,1,172,01-10-2020
56886,1,0,0,273,30-07-2012
44588,1,0,1,2,24-12-2010
31119,0,1,0,323,20-02-2013
18710,0,0,1,139,06-05-2015
72085,0,1,0,241,09-06-2010
87805,0,0,1,308,02-06-2013
38731,1,1,0,64,03-10-2017
29397,1,1,0,274,16-01-2020
12553,1,1,1,355,28-07-2013
86886,1,0,0,309,19-07-2012
44641,1,1,1,269,13-06-2016
35398,1,0,0,253,24-02-2015
91961,0,0,1,232,20-05-2021
38402,1,0,1,125,31-05-2020
96738,0,1,1,243,11-04-2011
81537,0,0,0,39,11-03-2015
68901,1,1,1,202,14-01-2022
52398,0,0,0,288,05-12-2017
10141,1,0,1,23,05-08-2021
66561,1,0,1,202,23-06-2010
39534,1,0,1,224,23-03-2019
30707,1,0,1,97,29-09-2017
15618,1,1,1,6,25-12-2010
10404,1,1,0,361,30-03-2023
66420,0,0,0,149,12-02-2012
95705,0,1,1,83,01-09-2020
89638,1,0,1,299,20-04-2019
23456,0,1,0,193,14-09-2012
45170,0,0,0,7,07-11-2016
47183,1,0,1,220,16-09-2011
65152,1,1,0,237,05-02-2010
98544,0,1,1,135,25-03-2018
43604,1,0,1,73,12-04-2018
14142,1,1,1,49,23-07-2020
54562,0,1,1,27,21-01-2014
54175,1,0,0,25,11-04-2021
11218,0,0,1,170,09-12-2014
82099,1,0,0,47,01-09-2012
75328,1,0,0,19,02-12-2021
61764,0,1,0,283,16-12-2010
51193,1,1,0,181,14-10-2022
92911,1,0,1,234,06-10-2016
37106,1,0,1,237,22-10-2022
16217,0,0,0,306,15-07-2010
41610,1,1,0,236,04-01-2018
58476,0,0,1,196,18-11-2012
11591,1,1,0,182,17-10-2021
84668,0,0,0,234,23-03-2016
75750,0,0,1,336,28-04-2020
16077,1,0,0,170,23-10-2022
66428,0,0,1,261,30-09-2011
16358,1,1,0,259,06-09-2013
24521,0,1,0,54,23-08-2015
90403,1,0,1,73,28-12-2015
72750,0,1,0,194,26-05-2015
26783,0,1,1,171,23-02-2016
89823,0,0,0,23,18-12-2017
54106,0,1,0,12,27-12-2022
11109,1,1,1,50,23-09-2013
27790,0,1,1,297,04-02-2017
95673,1,1,1,142,15-10-2012
72665,1,1,0,353,03-05-2014
52473,1,1,0,274,27-05-2015
74118,1,0,1,320,11-02-2010
89686,1,1,0,67,06-11-2010
45778,0,0,0,355,28-11-2014
34907,0,1,1,349,02-09-2014
87666,1,0,1,98,31-08-2015
45360,1,0,1,111,18-04-2012
84032,0,1,1,343,10-07-2018
18607,1,1,0,160,13-05-2019
14051,1,1,0,322,05-03-2010
35954,1,0,0,230,13-08-2012
27933,0,1,0,352,07-09-2011
46107,0,1,0,87,05-02-2022
41397,1,1,0,10,26-03-2018
51045,0,0,1,307,07-05-2018
63807,1,0,1,364,20-03-2022
28156,0,1,0,101,11-08-2015
85524,0,1,0,74,02-06-2014
60552,0,1,0,106,08-01-2015
96255,1,0,1,258,30-11-2015
80382,1,0,1,66,04-10-2016
75981,0,1,0,305,06-09-2010
52821,1,1,1,122,27-05-2013
31201,1,1,1,281,22-05-2018
34561,1,1,0,323,18-08-2022
55434,1,0,0,297,22-08-2010
37391,1,0,0,360,09-01-2023
33832,1,1,0,290,17-07-2016
82103,0,0,1,4,05-10-2012
88430,1,1,0,252,26-03-2014
47926,1,1,0,216,24-10-2015
18493,1,1,1,164,03-06-2014
86672,1,1,1,351,01-01-2023
42399,0,0,0,335,17-02-2017
93416,1,0,0,336,23-04-2013
84219,1,0,0,24,14-07-2013
94120,0,0,0,76,17-06-2012
73786,1,1,0,200,04-05-2011
29239,1,1,1,77,25-07-2015
96136,0,1,0,362,26-06-2015
66812,1,1,1,76,13-04-2017
50279,1,1,0,107,15-12-2016
88908,1,0,1,54,01-04-2016
96752,1,0,1,82,07-08-2015
59528,1,1,1,84,25-10-2018
47496,1,0,0,210,25-12-2011
45105,0,1,0,245,25-06-2018
69678,1,1,1,89,28-12-2013
12500,0,0,0,286,10-12-2019
62578,0,0,1,222,05-02-2017
47458,1,0,1,55,23-08-2012
56725,1,0,1,212,31-05-2022
96013,1,1,1,195,22-05-2016
53010,0,1,1,126,16-06-2013
21243,1,0,0,42,14-10-2017
17534,0,1,0,10,09-08-2021
29142,1,1,0,263,14-06-2012
36735,0,1,0,341,07-07-2020
91686,1,0,1,162,18-09-2017
33298,0,0,1,345,19-07-2019
63208,1,0,1,79,13-10-2016
42086,0,0,0,193,15-08-2022
19665,0,1,1,296,20-07-2013
68425,0,0,1,30,22-04-2023
68299,1,0,0,99,09-06-2010
69427,0,0,0,191,01-06-2017
63661,1,1,1,89,24-05-2022
67253,1,0,1,140,28-06-2015
74217,1,1,0,85,30-11-2014
83963,1,1,1,212,05-02-2010
63933,0,0,0,61,24-06-2011
26903,1,0,1,181,14-09-2012
76446,0,1,0,207,07-10-2018
67143,1,1,1,43,31-08-2010
46065,1,1,0,8,23-01-2023
18895,0,1,1,149,13-01-2022
33750,1,1,0,112,18-01-2017
83576,1,1,1,155,16-02-2020
48587,1,0,0,185,15-04-2017
83160,1,0,1,61,23-01-2015
70403,1,0,1,120,24-11-2014
37194,1,1,1,54,27-01-2017
29468,1,1,1,120,28-02-2014
99519,1,1,0,48,13-10-2019
98662,0,0,0,258,28-04-2017
70007,0,0,1,352,13-10-2022
39366,0,1,1,192,08-12-2017
89495,0,1,0,256,24-12-2014
34823,0,1,0,102,29-04-2016
76680,1,0,0,42,23-08-2021
55633,0,1,1,329,07-11-2015
32275,0,0,0,195,03-02-2021
50408,0,1,1,66,07-08-2020
58967,0,0,0,57,06-03-2010
48190,1,0,0,260,02-05-2014
18607,0,0,1,15,08-03-2020
80784,1,1,1,196,13-06-2011
62005,0,0,1,284,14-03-2022
89305,0,0,0,36,12-03-2014
86101,1,1,1,338,23-03-2013
45148,0,0,0,144,16-10-2010
24277,0,1,0,218,27-01-2014
90243,1,1,1,138,25-02-2022
23718,0,0,0,119,23-10-2019
87322,0,0,1,56,10-08-2022
94627,1,0,1,237,04-12-2016
90897,0,1,1,300,15-04-2010
45496,1,1,0,175,14-06-2010
19766,1,0,0,185,05-01-2022
67812,1,1,0,312,15-01-2020
66329,0,0,0,186,08-04-2022
35132,1,1,0,94,07-02-2017
94159,0,1,0,316,26-07-2021
67496,0,1,0,201,19-05-2011
70384,0,1,1,158,17-04-2023
14429,1,1,1,30,07-07-2018
33013,0,1,0,201,10-09-2018
75673,1,1,0,290,23-03-2019
87559,0,0,1,77,09-11-2017
78484,0,0,1,30,17-07-2021
67243,1,0,1,117,21-06-2014
27215,0,1,0,339,07-04-2020
98165,0,0,1,167,16-03-2023
42159,0,1,1,135,14-12-2021
44460,1,0,0,290,21-02-2012
13685,1,0,1,336,10-08-2018
65790,0,0,0,135,03-01-2016
31849,1,0,0,268,29-07-2018
67010,1,0,0,279,04-06-2019
70785,1,1,1,228,07-07-2019
54100,0,0,0,302,16-08-2015
89636,0,0,1,46,12-12-2014
84754,0,0,0,84,16-01-2018
58301,0,0,0,242,20-03-2022
25745,0,0,1,150,02-11-2015
46656,0,0,1,124,02-06-2011
24201,1,1,0,92,16-12-2022
97665,1,1,0,52,20-12-2010
73826,1,0,1,99,05-03-2016
19331,0,1,1,329,16-01-2023
99316,1,1,1,24,18-02-2017
67231,1,0,1,234,07-11-2021
67980,1,0,0,303,07-03-2012
48815,1,1,0,74,24-05-2015
10007,0,0,1,309,25-12-2013
64369,1,1,1,225,01-12-2019
83730,0,0,1,121,23-03-2010
83183,0,1,0,252,21-09-2018
69401,1,0,0,107,21-08-2021
32425,0,0,1,11,09-05-2015
42099,1,1,0,122,18-06-2021
64193,0,0,1,245,01-11-2021
96920,0,1,1,85,14-03-2014
38939,1,0,0,119,18-10-2020
23918,1,0,0,174,18-08-2020
16758,0,0,0,2,05-02-2014
94564,0,1,0,231,28-07-2010
60402,0,1,0,159,06-03-2017
51212,1,1,0,256,25-09-2021
85847,1,0,0,253,15-04-2014
41929,1,0,1,306,27-09-2021
95360,1,0,1,274,09-05-2010
19874,1,0,0,188,24-02-2023
12731,0,1,0,211,24-09-2018
20488,0,1,1,240,08-07-2020
84558,0,0,0,79,15-10-2018
